text,label
"I've been using this moisturizer for two weeks and my skin has never felt softer. Furthermore, It's a bit pricey, but a little goes a long way. Furthermore, Definitely worth it!",review
"Document summary: The company shall not be liable for any damages arising from 'acts of God', including but not limited to floods, earthquakes, or other natural disasters.",legal
"IN WITNESS WHEREOF, the parties have executed this contract as of the date first written above. Furthermore,",legal
"A multi-car pile-up on the interstate has caused major traffic delays during the morning commute, authorities said. This document contains important information.",news
"The defendant is hereby ordered to appear in the Superior Court of California, County of Los Angeles, on the specified date. This document contains important information.",legal
Senior project manager (PMP) adept at leading cross-functional teams to deliver complex projects on time and within budget.,resume
"IN WITNESS WHEREOF, the parties have executed this contract as of the date first written above. This document contains important information.",legal
"This dissertation argues that the fall of the Roman Empire was a multifaceted process influenced by economic instability, political corruption, and external military pressures. Furthermore,",academic
"Content: Auditor's Opinion: In our opinion, the financial statements present fairly, in all material respects, the financial position of the company. Additional details follow.",financial
"Function `calculate_sum(a, b)` returns the sum of two integer arguments. Furthermore, Ensure inputs are not floating-point numbers to avoid type errors. Furthermore,",technical
"Accomplished graphic designer with a strong portfolio in branding, UI/UX design, and motion graphics for mobile and web platforms.",resume
World leaders are gathering for a summit to discuss a new international climate accord aimed at reducing carbon emissions.,news
Document summary: Health officials are urging the public to get vaccinated ahead of what is predicted to be a severe flu season.,news
The company's stock plummeted following a disappointing quarterly earnings report that fell short of analysts' expectations. This document contains important information.,news
"Security Alert: A new device has signed into your account. If this was not you, please change your password immediately.",email
"The dragon unfurled its wings, each scale shimmering like a thousand emeralds in the fading light of the twin suns. Furthermore,",story
Results-oriented marketing director with a proven track record of increasing brand awareness and driving revenue growth through innovative digital strategies. This document contains important information.,resume
"Abstract: We explore the sociolinguistic implications of code-switching in bilingual communities, analyzing data from recorded conversations. This document contains important information.",academic
"Content: User Manual: To reboot the device, press and hold the power button for ten seconds until the screen turns off. Additional details follow.",technical
"The defendant is hereby ordered to appear in the Superior Court of California, County of Los Angeles, on the specified date.",legal
"Document summary: Certified Public Accountant (CPA) with extensive experience in financial auditing, compliance, and risk management for Fortune 500 companies.",resume
"The system's architecture is based on a microservices model, with each service communicating via a RESTful API. Furthermore,",technical
"The tenant agrees to pay the landlord the sum of $1,500 per month on the first day of each month for the duration of the lease term.",legal
Results-oriented marketing director with a proven track record of increasing brand awareness and driving revenue growth through innovative digital strategies.,resume
"Accomplished graphic designer with a strong portfolio in branding, UI/UX design, and motion graphics for mobile and web platforms. This document contains important information.",resume
"Hello Professor Smith, I am writing to request an extension on the upcoming paper. I have been feeling unwell this week. Best regards, A. Student.",email
"Function `calculate_sum(a, b)` returns the sum of two integer arguments. Ensure inputs are not floating-point numbers to avoid type errors. This document contains important information.",technical
"A solid product that does exactly what it says it will do. It's not flashy, but it's reliable and well-built. A good value for the price. This document contains important information.",review
"Troubleshooting: If you encounter a 404 error, first verify that the URL has been entered correctly and that the server is running.",technical
Content: Health officials are urging the public to get vaccinated ahead of what is predicted to be a severe flu season. Additional details follow.,news
"The database schema has been updated to include a new foreign key constraint in the 'orders' table. Furthermore,",technical
"Methodology: We conducted a double-blind, placebo-controlled study with 500 participants over a period of six months. This document contains important information.",academic
Content: Service at this restaurant was terrible. We waited 20 minutes just to get menus and our food arrived cold. The manager was unapologetic. Additional details follow.,review
"I absolutely love this coffee maker! It's fast, quiet, and makes a perfect cup every time. The design is sleek and looks great on my counter. 5/5 stars. This document contains important information.",review
"The tenant agrees to pay the landlord the sum of $1,500 per month on the first day of each month for the duration of the lease term. Furthermore,",legal
"Hi Team, Just a reminder that our weekly sync is scheduled for 10 AM tomorrow. Please come prepared to discuss your Q3 progress. Thanks, John.",email
"Content: A multi-car pile-up on the interstate has caused major traffic delays during the morning commute, authorities said. Additional details follow.",news
The following literature review provides a comprehensive overview of existing research on the topic of quantum entanglement. This document contains important information.,academic
"In sports, the home team secured a last-minute victory with a stunning goal in the final seconds of the championship match.",news
"Document summary: User Manual: To reboot the device, press and hold the power button for ten seconds until the screen turns off.",technical
FINAL NOTICE: Your subscription is about to expire. Renew now to keep enjoying uninterrupted service and save 20%!,email
"The fossil record indicates a mass extinction event at the end of the Cretaceous period, largely attributed to an asteroid impact.",academic
"This dissertation argues that the fall of the Roman Empire was a multifaceted process influenced by economic instability, political corruption, and external military pressures.",academic
Document summary: An archaeological dig has uncovered ancient ruins that could rewrite the history of the early civilization in the region.,news
"Content: This server is configured with a RAID 5 array, which provides a good balance of performance and data redundancy. Additional details follow.",technical
"Document summary: I've been using this moisturizer for two weeks and my skin has never felt softer. It's a bit pricey, but a little goes a long way. Definitely worth it!",review
"Human Resources Generalist with expertise in employee relations, talent acquisition, benefits administration, and HR policy development. This document contains important information.",resume
The company is applying for a line of credit to finance the acquisition of new manufacturing equipment and expand its operations. This document contains important information.,financial
"IN WITNESS WHEREOF, the parties have executed this contract as of the date first written above.",legal
"The fossil record indicates a mass extinction event at the end of the Cretaceous period, largely attributed to an asteroid impact.",academic
"The fossil record indicates a mass extinction event at the end of the Cretaceous period, largely attributed to an asteroid impact. Furthermore,",academic
"The following literature review provides a comprehensive overview of existing research on the topic of quantum entanglement. Furthermore,",academic
"Document summary: This hotel exceeded all our expectations. The staff was incredibly friendly and helpful, the room was spotless, and the ocean view was breathtaking.",review
"The company shall not be liable for any damages arising from 'acts of God', including but not limited to floods, earthquakes, or other natural disasters. Furthermore,",legal
"Document summary: For fiscal year 2023, our assets totaled $50 million with liabilities of $22 million, resulting in a total stockholder equity of $28 million.",financial
"Document summary: I've been using this moisturizer for two weeks and my skin has never felt softer. It's a bit pricey, but a little goes a long way. Definitely worth it!",review
"Hi Team, Just a reminder that our weekly sync is scheduled for 10 AM tomorrow. Please come prepared to discuss your Q3 progress. Thanks, John.",email
"Document summary: The system's architecture is based on a microservices model, with each service communicating via a RESTful API.",technical
Document summary: Service at this restaurant was terrible. We waited 20 minutes just to get menus and our food arrived cold. The manager was unapologetic.,review
"A multi-car pile-up on the interstate has caused major traffic delays during the morning commute, authorities said. Furthermore,",news
Content: The database schema has been updated to include a new foreign key constraint in the 'orders' table. Additional details follow.,technical
Senior project manager (PMP) adept at leading cross-functional teams to deliver complex projects on time and within budget. This document contains important information.,resume
"Document summary: Accomplished graphic designer with a strong portfolio in branding, UI/UX design, and motion graphics for mobile and web platforms.",resume
"The movie was a complete disappointment. The plot was predictable, the acting was wooden, and the special effects looked cheap. I would not recommend it. This document contains important information.",review
"Abstract: We explore the sociolinguistic implications of code-switching in bilingual communities, analyzing data from recorded conversations. Furthermore,",academic
The following literature review provides a comprehensive overview of existing research on the topic of quantum entanglement. This document contains important information.,academic
The company's stock plummeted following a disappointing quarterly earnings report that fell short of analysts' expectations. This document contains important information.,news
"Content: The company shall not be liable for any damages arising from 'acts of God', including but not limited to floods, earthquakes, or other natural disasters. Additional details follow.",legal
Document summary: World leaders are gathering for a summit to discuss a new international climate accord aimed at reducing carbon emissions.,news
"Content: Hi Alex, It was great catching up with you at the conference last week! I'd love to continue our conversation about a potential partnership. Additional details follow.",email
"To install the package, open your terminal and run the command: `pip install new-package-name`. Furthermore,",technical
Content: The company is applying for a line of credit to finance the acquisition of new manufacturing equipment and expand its operations. Additional details follow.,financial
"Hello Professor Smith, I am writing to request an extension on the upcoming paper. Furthermore, I have been feeling unwell this week. Furthermore, Best regards, A. Furthermore, Student. Furthermore,",email
"Content: The app is functional, but the user interface is clunky and not very intuitive. It crashes frequently, especially after the latest update. Needs a lot of work. Additional details follow.",review
"IN WITNESS WHEREOF, the parties have executed this contract as of the date first written above.",legal
"Content: Dynamic registered nurse with a decade of experience in critical care and emergency room settings, seeking a leadership role at a major metropolitan hospital. Additional details follow.",resume
"For fiscal year 2023, our assets totaled $50 million with liabilities of $22 million, resulting in a total stockholder equity of $28 million.",financial
"Content: The movie was a complete disappointment. The plot was predictable, the acting was wooden, and the special effects looked cheap. I would not recommend it. Additional details follow.",review
"OUT OF OFFICE: Thank you for your message. I am currently out of the office and will return on Monday, Oct 27th. I will respond then. This document contains important information.",email
"Content: The fossil record indicates a mass extinction event at the end of the Cretaceous period, largely attributed to an asteroid impact. Additional details follow.",academic
"Content: The chemical reaction was catalyzed using a palladium-based compound, resulting in a 95% yield of the desired product. Additional details follow.",academic
"IN WITNESS WHEREOF, the parties have executed this contract as of the date first written above.",legal
"Hi Team, Just a reminder that our weekly sync is scheduled for 10 AM tomorrow. Please come prepared to discuss your Q3 progress. Thanks, John. This document contains important information.",email
World leaders are gathering for a summit to discuss a new international climate accord aimed at reducing carbon emissions. This document contains important information.,news
"Document summary: For fiscal year 2023, our assets totaled $50 million with liabilities of $22 million, resulting in a total stockholder equity of $28 million.",financial
"Document summary: IN WITNESS WHEREOF, the parties have executed this contract as of the date first written above.",legal
"Content: This Non-Disclosure Agreement (the 'Agreement') is made effective as of the 1st day of January, 2024, by and between the Disclosing Party and the Receiving Party. Additional details follow.",legal
"The fog rolled in silently from the harbor, blanketing the cobblestone streets in a damp, gray shroud. A lone figure emerged from the shadows.",story
"The movie was a complete disappointment. The plot was predictable, the acting was wooden, and the special effects looked cheap. I would not recommend it.",review
"In a city built of chrome and starlight, Detective Kaito followed the trail of a notorious data thief known only as 'Glitch'. Furthermore,",story
"Document summary: In a city built of chrome and starlight, Detective Kaito followed the trail of a notorious data thief known only as 'Glitch'.",story
"Human Resources Generalist with expertise in employee relations, talent acquisition, benefits administration, and HR policy development. This document contains important information.",resume
Document summary: The database schema has been updated to include a new foreign key constraint in the 'orders' table.,technical
"The dragon unfurled its wings, each scale shimmering like a thousand emeralds in the fading light of the twin suns. Furthermore,",story
"Document summary: I absolutely love this coffee maker! It's fast, quiet, and makes a perfect cup every time. The design is sleek and looks great on my counter. 5/5 stars.",review
"Document summary: A multi-car pile-up on the interstate has caused major traffic delays during the morning commute, authorities said.",news
"A solid product that does exactly what it says it will do. Furthermore, It's not flashy, but it's reliable and well-built. Furthermore, A good value for the price. Furthermore,",review
"Health officials are urging the public to get vaccinated ahead of what is predicted to be a severe flu season. Furthermore,",news
"Accomplished graphic designer with a strong portfolio in branding, UI/UX design, and motion graphics for mobile and web platforms. This document contains important information.",resume
"Content: Hi Team, Just a reminder that our weekly sync is scheduled for 10 AM tomorrow. Please come prepared to discuss your Q3 progress. Thanks, John. Additional details follow.",email
"Abstract: We explore the sociolinguistic implications of code-switching in bilingual communities, analyzing data from recorded conversations. Furthermore,",academic
"Content: Quarterly Earnings Report: For the period ending September 30, 2024, the company reported a net income of $15.2 million, or $0.58 per share. Additional details follow.",financial
Document summary: This purchase agreement is contingent upon the buyer securing financing within 30 days of the acceptance of this offer.,legal
"I've been using this moisturizer for two weeks and my skin has never felt softer. It's a bit pricey, but a little goes a long way. Definitely worth it!",review
"Document summary: The chemical reaction was catalyzed using a palladium-based compound, resulting in a 95% yield of the desired product.",academic
"The app is functional, but the user interface is clunky and not very intuitive. It crashes frequently, especially after the latest update. Needs a lot of work.",review
"I absolutely love this coffee maker! It's fast, quiet, and makes a perfect cup every time. The design is sleek and looks great on my counter. 5/5 stars. This document contains important information.",review
"The spaceship creaked under the strain of atmospheric entry, alarms blaring as the planet's surface rushed up to meet them. Furthermore,",story
"Hello Professor Smith, I am writing to request an extension on the upcoming paper. Furthermore, I have been feeling unwell this week. Furthermore, Best regards, A. Furthermore, Student. Furthermore,",email
"Document summary: Abstract: We explore the sociolinguistic implications of code-switching in bilingual communities, analyzing data from recorded conversations.",academic
"Document summary: Pursuant to Title 17 of the United States Code, the copyright owner has the exclusive right to reproduce and distribute the copyrighted work.",legal
"Hello Professor Smith, I am writing to request an extension on the upcoming paper. Furthermore, I have been feeling unwell this week. Furthermore, Best regards, A. Furthermore, Student. Furthermore,",email
"Pursuant to Title 17 of the United States Code, the copyright owner has the exclusive right to reproduce and distribute the copyrighted work. This document contains important information.",legal
"The dragon unfurled its wings, each scale shimmering like a thousand emeralds in the fading light of the twin suns.",story
"Document summary: IN WITNESS WHEREOF, the parties have executed this contract as of the date first written above.",legal
"Senior project manager (PMP) adept at leading cross-functional teams to deliver complex projects on time and within budget. Furthermore,",resume
"Dynamic registered nurse with a decade of experience in critical care and emergency room settings, seeking a leadership role at a major metropolitan hospital.",resume
"Hello Professor Smith, I am writing to request an extension on the upcoming paper. Furthermore, I have been feeling unwell this week. Furthermore, Best regards, A. Furthermore, Student. Furthermore,",email
"This dissertation argues that the fall of the Roman Empire was a multifaceted process influenced by economic instability, political corruption, and external military pressures.",academic
"User Manual: To reboot the device, press and hold the power button for ten seconds until the screen turns off. This document contains important information.",technical
"The fog rolled in silently from the harbor, blanketing the cobblestone streets in a damp, gray shroud. A lone figure emerged from the shadows. This document contains important information.",story
"Auditor's Opinion: In our opinion, the financial statements present fairly, in all material respects, the financial position of the company.",financial
"The system's architecture is based on a microservices model, with each service communicating via a RESTful API.",technical
"Document summary: Detail-oriented research assistant with a background in molecular biology, proficient in laboratory techniques including PCR, Western Blot, and cell culturing.",resume
"Content: Auditor's Opinion: In our opinion, the financial statements present fairly, in all material respects, the financial position of the company. Additional details follow.",financial
Content: Service at this restaurant was terrible. We waited 20 minutes just to get menus and our food arrived cold. The manager was unapologetic. Additional details follow.,review
"Document summary: Security Alert: A new device has signed into your account. If this was not you, please change your password immediately.",email
Content: Our empirical results suggest a strong correlation between socioeconomic status and educational attainment. Additional details follow.,academic
Seasoned Full-Stack Developer with over 8 years of experience in architecting and deploying scalable web applications using Node.js and AWS.,resume
"Content: Human Resources Generalist with expertise in employee relations, talent acquisition, benefits administration, and HR policy development. Additional details follow.",resume
"The chemical reaction was catalyzed using a palladium-based compound, resulting in a 95% yield of the desired product. This document contains important information.",academic
"The central bank announced today it would be raising interest rates by 25 basis points in an effort to curb rising inflation. Furthermore,",news
"I absolutely love this coffee maker! It's fast, quiet, and makes a perfect cup every time. Furthermore, The design is sleek and looks great on my counter. Furthermore, 5/5 stars. Furthermore,",review
"The spaceship creaked under the strain of atmospheric entry, alarms blaring as the planet's surface rushed up to meet them.",story
"Document summary: OUT OF OFFICE: Thank you for your message. I am currently out of the office and will return on Monday, Oct 27th. I will respond then.",email
